,distance,width,movement_time
4159,160,8,744
4107,40,20,352
1503,75,20,503
4914,75,10,609
5109,210,6,1327
5789,210,8,721
5603,40,14,312
5636,120,18,470
1568,120,18,536
193,75,10,553
2562,160,18,805
4891,40,14,385
42,210,20,824
1357,60,14,577
1260,210,14,1016
1517,160,8,976
3650,40,18,528
4739,120,10,697
2842,60,6,1128
4395,40,8,434
4173,120,6,857
4442,60,10,499
5342,120,20,425
4932,60,20,463
2588,40,6,615
2017,40,8,486
5987,40,18,504
4584,40,6,606
4786,75,14,648
5562,160,8,653
137,120,18,610
2889,160,8,816
2869,120,14,830
3587,60,20,623
4556,75,10,797
6153,60,20,471
2719,60,8,814
2823,40,8,544
2726,160,14,782
2612,60,20,432
1280,75,10,639
2957,40,14,624
1168,75,14,623
343,120,20,598
3370,60,14,561
1027,160,20,768
1675,210,20,697
3582,60,20,575
5329,40,14,335
1165,75,14,698
4571,160,18,721
5846,40,6,714
5390,40,18,349
2511,40,14,473
780,120,18,711
2864,120,14,659
1796,120,14,547
1468,120,6,747
1066,75,18,625
4312,60,14,514
3203,60,18,386
3192,210,20,656
2093,75,6,530
2116,210,10,871
784,60,14,599
3830,120,14,726
5418,160,10,704
4639,120,18,713
1760,40,18,387
4894,40,14,391
1172,75,14,600
6142,60,18,479
4520,210,6,977
454,60,14,867
1926,210,20,735
5823,210,8,1184
872,210,18,1162
2829,40,8,785
1761,40,18,319
2803,40,6,655
3785,210,18,905
1768,60,14,411
6006,120,8,823
2711,60,8,814
3321,210,14,1221
3726,120,8,931
2932,40,18,478
1492,210,8,885
3431,75,8,760
569,120,8,944
4603,75,14,520
2283,40,6,543
5461,210,14,617
2929,40,18,445
2657,40,18,405
1411,160,6,902
288,40,10,544
4890,40,14,449
886,120,6,1223
172,40,6,832
2164,210,6,1241
5551,120,8,643
5122,210,10,696
2159,40,14,462
1935,75,20,584
2564,210,8,1129
4768,120,20,745
3947,160,10,713
3138,40,8,598
1678,160,10,688
4659,160,6,1024
2285,40,6,460
342,120,20,794
5768,40,6,358
4828,75,20,520
4001,160,14,710
2614,40,20,671
5362,210,18,904
1655,210,14,1093
5660,75,18,344
5798,120,14,620
1471,120,6,951
4145,40,14,423
4814,210,14,980
310,40,18,424
291,60,10,551
5868,40,20,461
1683,160,10,688
